step,load_case,Delta,strain,checkpoint,history_source,reaction_N_energy,reaction_N_virtual_work,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,reaction_metric_status,is_energy_conjugate,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,Delta_s,engineering_shear_strain,seed,checkpoint_exists,field_npz_exists
0,shear,1e-06,0.0001,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,zero_initial_history,0.0049372074499842,,2.402915323315713e-12,2.3955351591276038e-12,7.380146400416936e-15,energy_conjugate,True,False,0,,,,0.0,1e-06,0.0001,23,True,True
1,shear,3e-06,0.0003,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,checkpoint_step_0000_post_history,0.0164080483955331,,2.364601917048681e-11,2.3637208509952323e-11,8.811117085244773e-15,energy_conjugate,True,False,0,,,,0.0,3e-06,0.0003,23,True,True
2,shear,5e-06,0.0005,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,checkpoint_step_0001_post_history,0.0283190220216056,,6.835085969436605e-11,6.833585780574579e-11,1.5000021759631682e-14,energy_conjugate,True,False,0,,,,0.0,5e-06,0.0005,23,True,True
3,shear,7e-06,0.0007,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,checkpoint_step_0002_post_history,0.0402047153329476,,1.3688247757492888e-10,1.3683777722039991e-10,4.470335980186722e-14,energy_conjugate,True,False,0,,,,0.0,7e-06,0.0007,23,True,True
4,shear,1e-05,0.001,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,checkpoint_step_0003_post_history,0.0579610568820498,,2.8405733321079646e-10,2.8387547867936286e-10,1.8185194290091386e-13,energy_conjugate,True,False,0,,,,0.0,1e-05,0.001,23,True,True
5,shear,1.2e-05,0.0012,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0005.pt,checkpoint_step_0004_post_history,0.0697562500135973,,4.1173206510869415e-10,4.1131459349585953e-10,4.1747757594662326e-13,energy_conjugate,True,False,0,,,,0.0,1.2e-05,0.0012,23,True,True
6,shear,1.5e-05,0.0015,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0006.pt,checkpoint_step_0005_post_history,0.087407672253903,,6.475331937316753e-10,6.463127255607047e-10,1.2204681709704346e-12,energy_conjugate,True,False,0,,,,0.0,1.5e-05,0.0015,23,True,True
7,shear,1.7e-05,0.0017,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0007.pt,checkpoint_step_0006_post_history,0.0990707630990073,,8.339702817217186e-10,8.318622457537116e-10,2.108062422540025e-12,energy_conjugate,True,False,0,,,,0.0,1.7e-05,0.0017,23,True,True
8,shear,2e-05,0.002,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0008.pt,checkpoint_step_0007_post_history,0.1164563145721331,,1.1569415425682903e-09,1.1524436960286264e-09,4.497900749772521e-12,energy_conjugate,True,False,0,,,,0.0,2e-05,0.002,23,True,True
9,shear,2.2e-05,0.0021999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0009.pt,checkpoint_step_0008_post_history,0.1279345742659643,,1.401832760983268e-09,1.394939719290278e-09,6.893011769010249e-12,energy_conjugate,True,False,0,,,,0.0,2.2e-05,0.0021999999999999,23,True,True
10,shear,2.5e-05,0.0025,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0010.pt,checkpoint_step_0009_post_history,0.1450211711926385,,1.810958050185718e-09,1.7984931321990414e-09,1.2464878088036535e-11,energy_conjugate,True,False,0,,,,0.0,2.5e-05,0.0025,23,True,True
11,shear,2.7e-05,0.0026999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0011.pt,checkpoint_step_0010_post_history,0.1562394463689997,,2.113271779791148e-09,2.0960539970360514e-09,1.7217833062077578e-11,energy_conjugate,True,False,0,,,,0.0,2.7e-05,0.0026999999999999,23,True,True
12,shear,3e-05,0.003,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0012.pt,checkpoint_step_0011_post_history,0.1730065996525809,,2.606784343939239e-09,2.5793054359013468e-09,2.747880221976029e-11,energy_conjugate,True,False,0,,,,0.0,3e-05,0.003,23,True,True
